actor 영화배우
address 주소
afternoon 오후
age 나이
air 공기
airplane 비행기
airport 공항
album 앨범
all 모든
animal 동물
answer 대답
apartment 아파트
apple 사과
arm 팔
around ~주위에
arrive 도착하다
ask 묻다
autumn 가을
baby 아기
back 뒤
ball 공
balloon 풍선
banana 바나나
bank 은행
base 바닥
basket 바구니
bath 목욕
beach 해변
bear 곰
bed 침대
bell 종
bird 새
birthday 생일
black 검은색
blue 파란색
body 몸
book 책
bottle 병
box 상자
boy 소년
bread 빵
breakfast 아침식사
bridge 다리
brown 갈색의
bus 버스
butter 버터
cake 케이크
candle 양초
candy 사탕
cap 모자
car 자동차
cartoon 만화
case 상자
cat 고양이
chair 의자
chalk 분필
chance 기회
cheese 치즈
chicken 닭
child 어린이
chopstick 젓가락
church 교회
circle 원
city 도시
class 학급
clock 시계
clothes 옷
cloud 구름
coin 동전
color 색깔
cook 요리사
country 나라
cow 암소
cup 컵
cut 자르다
dad 아빠
dance 춤추다
date 날짜
daughter 딸
day 낮
deer 사슴
desk 책상
dinner 저녁식사
dish 접시
doctor 의사
dog 개
doll 인형
dolphin 돌고래
door 문
down 아래
dream 꿈
drum 북
duck 오리
ear 귀
earth 지구
east 동쪽
end 끝
evening 저녁
example 예시
eye 눈
face 얼굴
fact 사실
family 가족
farm 농장
father 아버지
finger 손가락
fire 불
fish 물고기
flag 깃발
floor 바닥
flower 꽃
food 음식
fool 바보
foot 발
friend 친구
fruit 과일
game 게임
garden 정원 
gate 문
girl 소녀
glove 장갑
god 신
gold 금
grandma 할머니
grape 포도
gray 회색
green 녹색
ground 땅
guitar 기타 
hair 머리카락
hand 손
hat 모
head 머리
heart 심장
home 집
horse 말
hospital 병원
hour 시간
house 집
hundred 백
ice 얼음
idea 생각
island 섬
job 일
juice 주스 
jungle 정글
key 열쇠
kid 어린아이
king 왕
knee 무릎
knife 칼
lake 호수
land 육지
leaf 나뭇잎
left 왼쪽
leg 다리
library 도서관
lie 거짓말
line 선
lion 사자
lip 입술
luck 운
lunch 점심
man 남자
map 지도
market 시장
meat 고기
melon 멜론
middle 중간
milk 우유
minute 분
mirror 거울
mom 엄마
money 돈
monkey 원숭이
month 달
moon 달
morning 아침
mother 엄마
mountain 산
mouth 입
movie 영화
music 음악
neck 목
night 밤
noise 소음
north 북쪽
nose 코
number 숫자
oil 기름
orange 오렌지
paper 종이
park 공원
peace 평화
pear 배
pencil 연필
people 사람들
picture 사진
496. pig 돼지
pink 분홍색
place 장소
plan 계획
plane 비행기
police 경찰
potato 감자
problem 문제
queen 여왕
question 질문
rain 비
rainbow 무지개
record 기록
red 빨간색
restaurant 식당
rice 쌀
right 오른쪽
ring 반지
river 강
road 길
rock 바위
roof 지붕
room 방
rose 장미
ruler 자
sand 모래
school 학교
scissors 가위
score 점수
sea 바다
season 계절
sheep 양
ship 배
shoe 신발
shop 상점
shoulder 어깨
size 크기
skirt 치마
sky 하늘
smell 냄새
smile 미소
smoke 연기
snow 눈
soap 비누
soccer 축구
sock 양말
son 아들
song 노래
sound 소리
south 남쪽
space 우주
spoon 숟가락
sport 운동
spring 봄
square 정사각형
stair 계단
star 별
steam 증기
step 걸음
stick 막대기
stone 돌
storm 폭풍우
story 이야기
strawberry 딸기
street 거리
student 학생
sugar 설탕
summer 여름
sun 태양
sweater 스웨터
swing 그네
table 식탁
tea 차
telephone 전화기
temple 신전
tennis 테니스
test 시험
they 그들
thunder 천둥
ticket 표
704. tiger 호랑이
time 시간
today 오늘
tomato 토마토
tomorrow 내일
tooth 이
toy 장난감
train 기차
tree 나무
trip 여행
umbrella 우산
vacation 방학
vegetable 채소
village 마을
wall 벽
war 전쟁
water 물
way 방법
we 우리
weather 날씨
week 주
west 서쪽
white 흰색
wind 바람
window 창문
wing 날개
winter 겨울
woman 여자
wood 목재
word 단어
work 일하다
world 세계
write 쓰다
year 년
yellow 노란색
yesterday 어제
you 너
zero 영
zoo 동물원

